prev_caption,curr_caption,human_transition,input_text
a woman is laying on a swing,a woman in a black dress laying on a bed,,"Caption 1: a woman is laying on a swing
Caption 2: a woman in a black dress laying on a bed
What's the transition?"
a woman in a black dress laying on a bed,a woman is suspended on a rope in the dark,,"Caption 1: a woman in a black dress laying on a bed
Caption 2: a woman is suspended on a rope in the dark
What's the transition?"
a woman is suspended by a rope in the air,a woman in a leopard print top laying on a bed,,"Caption 1: a woman is suspended by a rope in the air
Caption 2: a woman in a leopard print top laying on a bed
What's the transition?"
a cat is standing in a room with a green wall,a cat is walking through a room with a couch,,"Caption 1: a cat is standing in a room with a green wall
Caption 2: a cat is walking through a room with a couch
What's the transition?"
a cat is walking through a room with a couch,a room with a couch and a chair,,"Caption 1: a cat is walking through a room with a couch
Caption 2: a room with a couch and a chair
What's the transition?"
a room with a couch and a chair,a man is sitting on a couch in a room,,"Caption 1: a room with a couch and a chair
Caption 2: a man is sitting on a couch in a room
What's the transition?"
a man is sitting on a couch in a room,a man is walking down the stairs in a house,,"Caption 1: a man is sitting on a couch in a room
Caption 2: a man is walking down the stairs in a house
What's the transition?"
a man is walking down the hallway in a house,a room with a green wall and a white refrigerator,,"Caption 1: a man is walking down the hallway in a house
Caption 2: a room with a green wall and a white refrigerator
What's the transition?"
a cat is walking around a kitchen,a dog is running around a box in the room,,"Caption 1: a cat is walking around a kitchen
Caption 2: a dog is running around a box in the room
What's the transition?"
a dog jumping in the air with a box,a man is standing on the floor in a room,,"Caption 1: a dog jumping in the air with a box
Caption 2: a man is standing on the floor in a room
What's the transition?"
a man is standing on the floor in a room,a cat is walking around in a kitchen,,"Caption 1: a man is standing on the floor in a room
Caption 2: a cat is walking around in a kitchen
What's the transition?"
a green kitchen with a bed and a refrigerator,a box is sitting on the floor in a room,,"Caption 1: a green kitchen with a bed and a refrigerator
Caption 2: a box is sitting on the floor in a room
What's the transition?"
a dog is standing in the kitchen next to a couch,a cat is standing in the kitchen looking at something,,"Caption 1: a dog is standing in the kitchen next to a couch
Caption 2: a cat is standing in the kitchen looking at something
What's the transition?"
a cat is standing on the floor in a room,a room with a green wall and a white door,,"Caption 1: a cat is standing on the floor in a room
Caption 2: a room with a green wall and a white door
What's the transition?"
a room with a green wall and a white door,a dog is playing with a vacuum cleaner,,"Caption 1: a room with a green wall and a white door
Caption 2: a dog is playing with a vacuum cleaner
What's the transition?"
a dog is playing with a vacuum cleaner,a cat jumping in the air,,"Caption 1: a dog is playing with a vacuum cleaner
Caption 2: a cat jumping in the air
What's the transition?"
a cat is jumping in the air,a man is dancing in the kitchen,,"Caption 1: a cat is jumping in the air
Caption 2: a man is dancing in the kitchen
What's the transition?"
a man is dancing in the kitchen,a dog is standing in a kitchen with a person,,"Caption 1: a man is dancing in the kitchen
Caption 2: a dog is standing in a kitchen with a person
What's the transition?"
a dog is standing in a kitchen with a person,a black cat is running in the kitchen,,"Caption 1: a dog is standing in a kitchen with a person
Caption 2: a black cat is running in the kitchen
What's the transition?"
a black cat is running in the kitchen,a cat is standing on the floor in a room,,"Caption 1: a black cat is running in the kitchen
Caption 2: a cat is standing on the floor in a room
What's the transition?"
a man in a white coat is preparing food,a man is walking through a store,,"Caption 1: a man in a white coat is preparing food
Caption 2: a man is walking through a store
What's the transition?"
a man in a white tank top,a man holding a blue toothbrush,,"Caption 1: a man in a white tank top
Caption 2: a man holding a blue toothbrush
What's the transition?"
a man holding a blue toothbrush,a man sitting on a couch,,"Caption 1: a man holding a blue toothbrush
Caption 2: a man sitting on a couch
What's the transition?"
a man sitting on a couch,a man in a white tank top,,"Caption 1: a man sitting on a couch
Caption 2: a man in a white tank top
What's the transition?"
a man in a white tank top,a man wearing a hat,,"Caption 1: a man in a white tank top
Caption 2: a man wearing a hat
What's the transition?"
a man in a suit and tie is talking to a woman,"a scene from the tv series, the big bad",,"Caption 1: a man in a suit and tie is talking to a woman
Caption 2: a scene from the tv series, the big bad
What's the transition?"
"a scene from the tv series, the big bad",a man standing in front of a woman and a man standing behind him,,"Caption 1: a scene from the tv series, the big bad
Caption 2: a man standing in front of a woman and a man standing behind him
What's the transition?"
a man standing in front of a woman and a man standing behind him,a man and woman are standing in front of a table,,"Caption 1: a man standing in front of a woman and a man standing behind him
Caption 2: a man and woman are standing in front of a table
What's the transition?"
a shark is seen in the water,a black and white photo of a cloud,,"Caption 1: a shark is seen in the water
Caption 2: a black and white photo of a cloud
What's the transition?"
a black and white photo of a cloud,a blue screen with a white line on it,,"Caption 1: a black and white photo of a cloud
Caption 2: a blue screen with a white line on it
What's the transition?"
a blue screen with a white line on it,a blue pool with a white background,,"Caption 1: a blue screen with a white line on it
Caption 2: a blue pool with a white background
What's the transition?"
a blue pool with a white background,"the cover of the book, the blue sea",,"Caption 1: a blue pool with a white background
Caption 2: the cover of the book, the blue sea
What's the transition?"
"the cover of the book, the blue sea",a blue book with a white cover,,"Caption 1: the cover of the book, the blue sea
Caption 2: a blue book with a white cover
What's the transition?"
a blue book with a white cover,a blue sky,,"Caption 1: a blue book with a white cover
Caption 2: a blue sky
What's the transition?"
a small boat is floating in the ocean,a small boat is in the water with a large plume,,"Caption 1: a small boat is floating in the ocean
Caption 2: a small boat is in the water with a large plume
What's the transition?"
a small boat is in the water with a large plume,a rocket is seen in the sky as it is launched,,"Caption 1: a small boat is in the water with a large plume
Caption 2: a rocket is seen in the sky as it is launched
What's the transition?"
a missile is seen in the ocean,a large plume of smoke is seen in the ocean,,"Caption 1: a missile is seen in the ocean
Caption 2: a large plume of smoke is seen in the ocean
What's the transition?"
a large plume of smoke is seen in the ocean,a large white fish swimming in the ocean,,"Caption 1: a large plume of smoke is seen in the ocean
Caption 2: a large white fish swimming in the ocean
What's the transition?"
a large white fish swimming in the ocean,a large white whale,,"Caption 1: a large white fish swimming in the ocean
Caption 2: a large white whale
What's the transition?"
a large white whale is swimming in the ocean,a small plane is flying over the ocean,,"Caption 1: a large white whale is swimming in the ocean
Caption 2: a small plane is flying over the ocean
What's the transition?"
a man cutting a piece of wood with a knife,a little girl is sitting on the floor,,"Caption 1: a man cutting a piece of wood with a knife
Caption 2: a little girl is sitting on the floor
What's the transition?"
a woman cutting a piece of broya,a woman cutting vegetables on a cutting board,,"Caption 1: a woman cutting a piece of broya
Caption 2: a woman cutting vegetables on a cutting board
What's the transition?"
a man with a beard and a scarf holding a cup,a man drinking a cup of coffee,,"Caption 1: a man with a beard and a scarf holding a cup
Caption 2: a man drinking a cup of coffee
What's the transition?"
a man drinking a cup of coffee,a man drinking a glass of beer,,"Caption 1: a man drinking a cup of coffee
Caption 2: a man drinking a glass of beer
What's the transition?"
two people are walking up the stairs,a dog is walking down the stairs,,"Caption 1: two people are walking up the stairs
Caption 2: a dog is walking down the stairs
What's the transition?"
a woman is standing in front of a lake,a man is standing in the grass near a lake,,"Caption 1: a woman is standing in front of a lake
Caption 2: a man is standing in the grass near a lake
What's the transition?"
a man is fishing in a lake,a man in a green shirt,,"Caption 1: a man is fishing in a lake
Caption 2: a man in a green shirt
What's the transition?"
a young girl playing a violin on the street,a woman in a red dress playing violin,,"Caption 1: a young girl playing a violin on the street
Caption 2: a woman in a red dress playing violin
What's the transition?"
two boys playing with a remote control,two boys playing with each other children,,"Caption 1: two boys playing with a remote control
Caption 2: two boys playing with each other children
What's the transition?"
two little boys playing with a toy car,two boys hugging each other boys,,"Caption 1: two little boys playing with a toy car
Caption 2: two boys hugging each other boys
What's the transition?"
two boys hugging each other boys,two babies playing with each other babies,,"Caption 1: two boys hugging each other boys
Caption 2: two babies playing with each other babies
What's the transition?"
a shark is seen in the water as it swims,a shark is being pulled into the water by a boat,,"Caption 1: a shark is seen in the water as it swims
Caption 2: a shark is being pulled into the water by a boat
What's the transition?"
a shark is being pulled into the water by a boat,a man is holding a plastic bag while he is in the water,,"Caption 1: a shark is being pulled into the water by a boat
Caption 2: a man is holding a plastic bag while he is in the water
What's the transition?"
a man is holding a plastic bag while he is in the water,a man is fishing in the ocean with a large fish,,"Caption 1: a man is holding a plastic bag while he is in the water
Caption 2: a man is fishing in the ocean with a large fish
What's the transition?"
a man is holding a fishing rod in the water,a man is swimming in the ocean with a dog,,"Caption 1: a man is holding a fishing rod in the water
Caption 2: a man is swimming in the ocean with a dog
What's the transition?"
a man is swimming in the ocean with a dog,a shark is swimming in the ocean,,"Caption 1: a man is swimming in the ocean with a dog
Caption 2: a shark is swimming in the ocean
What's the transition?"
a couple sitting on a bench in a city,a man riding a motorcycle down a street,,"Caption 1: a couple sitting on a bench in a city
Caption 2: a man riding a motorcycle down a street
What's the transition?"
a man is playing basketball on a court,a yellow and black picture of a window,,"Caption 1: a man is playing basketball on a court
Caption 2: a yellow and black picture of a window
What's the transition?"
two women in black dresses dancing together,a woman is hugging a man in a living room,,"Caption 1: two women in black dresses dancing together
Caption 2: a woman is hugging a man in a living room
What's the transition?"
a woman is hugging a man in a living room,a woman is sitting on a chair with a man,,"Caption 1: a woman is hugging a man in a living room
Caption 2: a woman is sitting on a chair with a man
What's the transition?"
a woman is sitting on a chair with a man,a woman is dancing with a man,,"Caption 1: a woman is sitting on a chair with a man
Caption 2: a woman is dancing with a man
What's the transition?"
a woman is dancing with a man,a woman in a black dress is standing on a table,,"Caption 1: a woman is dancing with a man
Caption 2: a woman in a black dress is standing on a table
What's the transition?"
a woman in a black dress is standing on a table,a woman is sitting on a couch with a man,,"Caption 1: a woman in a black dress is standing on a table
Caption 2: a woman is sitting on a couch with a man
What's the transition?"
a woman is sitting on a couch with a man,a woman in a black dress and white stockings is standing on a couch,,"Caption 1: a woman is sitting on a couch with a man
Caption 2: a woman in a black dress and white stockings is standing on a couch
What's the transition?"
a woman in a black dress and white stockings is standing on a couch,a woman in a black dress is holding a baby,,"Caption 1: a woman in a black dress and white stockings is standing on a couch
Caption 2: a woman in a black dress is holding a baby
What's the transition?"
a woman in a black dress is holding a baby,a woman in a black dress,,"Caption 1: a woman in a black dress is holding a baby
Caption 2: a woman in a black dress
What's the transition?"
a man eating a sandwich,a man is painting a picture of a man,,"Caption 1: a man eating a sandwich
Caption 2: a man is painting a picture of a man
What's the transition?"
a woman is petting a horse in a field,a man is petting a cow in a field,,"Caption 1: a woman is petting a horse in a field
Caption 2: a man is petting a cow in a field
What's the transition?"
a man is petting a cow in a field,a black cow with a red spot on its nose,,"Caption 1: a man is petting a cow in a field
Caption 2: a black cow with a red spot on its nose
What's the transition?"
a black cow with a red spot on its nose,a woman is petting a dog in a field,,"Caption 1: a black cow with a red spot on its nose
Caption 2: a woman is petting a dog in a field
What's the transition?"
a woman is standing next to a horse,a man with a beard and a beard,,"Caption 1: a woman is standing next to a horse
Caption 2: a man with a beard and a beard
What's the transition?"
a man with a beard and a beard,a man is standing in the grass with a dog,,"Caption 1: a man with a beard and a beard
Caption 2: a man is standing in the grass with a dog
What's the transition?"
a man with tattoos on his stomach and a red spot,a man is falling off a skateboard,,"Caption 1: a man with tattoos on his stomach and a red spot
Caption 2: a man is falling off a skateboard
What's the transition?"
a man is falling off a skateboard,a man is doing tricks on a skateboard,,"Caption 1: a man is falling off a skateboard
Caption 2: a man is doing tricks on a skateboard
What's the transition?"
a man is doing tricks on a skateboard,a man is seen on the ground in this image,,"Caption 1: a man is doing tricks on a skateboard
Caption 2: a man is seen on the ground in this image
What's the transition?"
a man is seen on the ground in this image,a white wall with a white sign on it,,"Caption 1: a man is seen on the ground in this image
Caption 2: a white wall with a white sign on it
What's the transition?"
a man is cutting the grass with a lawn mower,a man in a camouflage shirt is playing with a frc,,"Caption 1: a man is cutting the grass with a lawn mower
Caption 2: a man in a camouflage shirt is playing with a frc
What's the transition?"
a man in camouflage shorts is playing with a frc,a man is standing on a lawn with a lawn mower,,"Caption 1: a man in camouflage shorts is playing with a frc
Caption 2: a man is standing on a lawn with a lawn mower
What's the transition?"
a man is standing on a lawn with a lawn mower,a man is riding a red lawn mower,,"Caption 1: a man is standing on a lawn with a lawn mower
Caption 2: a man is riding a red lawn mower
What's the transition?"
a small child is playing with a remote control,a small child is standing in a room,,"Caption 1: a small child is playing with a remote control
Caption 2: a small child is standing in a room
What's the transition?"
a small child is standing in a room,a little boy is playing with a wii game,,"Caption 1: a small child is standing in a room
Caption 2: a little boy is playing with a wii game
What's the transition?"
a little boy in a red shirt is dancing,a little girl is dancing in a room,,"Caption 1: a little boy in a red shirt is dancing
Caption 2: a little girl is dancing in a room
What's the transition?"
a little boy is running in a room,a little boy is standing in a room,,"Caption 1: a little boy is running in a room
Caption 2: a little boy is standing in a room
What's the transition?"
a little girl is dancing in a room,a young boy is dancing in the kitchen,,"Caption 1: a little girl is dancing in a room
Caption 2: a young boy is dancing in the kitchen
What's the transition?"
a little boy is playing with a toy,a little girl is running in the kitchen,,"Caption 1: a little boy is playing with a toy
Caption 2: a little girl is running in the kitchen
What's the transition?"
a little girl is running in the kitchen,a young boy in a red shirt,,"Caption 1: a little girl is running in the kitchen
Caption 2: a young boy in a red shirt
What's the transition?"
a young boy in a red shirt,a little boy is dancing in the kitchen,,"Caption 1: a young boy in a red shirt
Caption 2: a little boy is dancing in the kitchen
What's the transition?"
a little boy is playing with a toy,a little girl in a red shirt is playing with a toy,,"Caption 1: a little boy is playing with a toy
Caption 2: a little girl in a red shirt is playing with a toy
What's the transition?"
a little girl in a red shirt is playing with a toy,a man in a red shirt is dancing,,"Caption 1: a little girl in a red shirt is playing with a toy
Caption 2: a man in a red shirt is dancing
What's the transition?"
a little boy is sitting on the floor,a little boy is playing with a toy,,"Caption 1: a little boy is sitting on the floor
Caption 2: a little boy is playing with a toy
What's the transition?"
a man is standing on a tread machine,a man and a woman are playing with a frc,,"Caption 1: a man is standing on a tread machine
Caption 2: a man and a woman are playing with a frc
What's the transition?"
a man and a woman are playing with a frc,a man and a little girl are on a treadmill,,"Caption 1: a man and a woman are playing with a frc
Caption 2: a man and a little girl are on a treadmill
What's the transition?"
a man and a little girl are on a treadmill,a man is standing on a treadmill,,"Caption 1: a man and a little girl are on a treadmill
Caption 2: a man is standing on a treadmill
What's the transition?"
a bunch of turtles are seen in the mud,a large pile of black oysters on the beach,,"Caption 1: a bunch of turtles are seen in the mud
Caption 2: a large pile of black oysters on the beach
What's the transition?"
a large pile of black oysters on the beach,a pile of black mussels on the ground,,"Caption 1: a large pile of black oysters on the beach
Caption 2: a pile of black mussels on the ground
What's the transition?"
a pile of black mussels on the ground,a group of turtles crawling in the sand,,"Caption 1: a pile of black mussels on the ground
Caption 2: a group of turtles crawling in the sand
What's the transition?"
a woman in a white dress playing a guitar,a woman in a costume and a man in a costume,,"Caption 1: a woman in a white dress playing a guitar
Caption 2: a woman in a costume and a man in a costume
What's the transition?"
a woman in a costume and a man in a costume,a little girl in a dress and a cat,,"Caption 1: a woman in a costume and a man in a costume
Caption 2: a little girl in a dress and a cat
What's the transition?"
a little girl in a dress and a cat,a woman in a white dress,,"Caption 1: a little girl in a dress and a cat
Caption 2: a woman in a white dress
What's the transition?"
a woman in a white dress,a couple dressed up as jack and sally and jack,,"Caption 1: a woman in a white dress
Caption 2: a couple dressed up as jack and sally and jack
What's the transition?"
a man holding a camera in his hand,a man standing in front of a castle,,"Caption 1: a man holding a camera in his hand
Caption 2: a man standing in front of a castle
What's the transition?"
a giant tor is seen in this image,a seal is swimming in the water,,"Caption 1: a giant tor is seen in this image
Caption 2: a seal is swimming in the water
What's the transition?"
a man in a suit playing a guitar,a man in a hat and coat running through a field,,"Caption 1: a man in a suit playing a guitar
Caption 2: a man in a hat and coat running through a field
What's the transition?"
a man is riding a dirt bike in the field,a man is digging a field with a shovel,,"Caption 1: a man is riding a dirt bike in the field
Caption 2: a man is digging a field with a shovel
What's the transition?"
a video of a basketball game being played,a man in a white shirt is playing basketball,,"Caption 1: a video of a basketball game being played
Caption 2: a man in a white shirt is playing basketball
What's the transition?"
a man riding a skateboard down a ramp,a dog is riding on a boat in the water,,"Caption 1: a man riding a skateboard down a ramp
Caption 2: a dog is riding on a boat in the water
What's the transition?"
a dog is riding on a boat in the water,a blur of a car in the dark,,"Caption 1: a dog is riding on a boat in the water
Caption 2: a blur of a car in the dark
What's the transition?"
learn how to play guitar fast fast,learn how to play the guitar part 1,,"Caption 1: learn how to play guitar fast fast
Caption 2: learn how to play the guitar part 1
What's the transition?"
learn how to play the guitar part 1,a man playing a guitar with a red and yellow picker,,"Caption 1: learn how to play the guitar part 1
Caption 2: a man playing a guitar with a red and yellow picker
What's the transition?"
a man playing a guitar with a red and yellow picker,a man playing a guitar with a black background,,"Caption 1: a man playing a guitar with a red and yellow picker
Caption 2: a man playing a guitar with a black background
What's the transition?"
a small bird sitting on top of a wooden box,a small dog is being held by someone,,"Caption 1: a small bird sitting on top of a wooden box
Caption 2: a small dog is being held by someone
What's the transition?"
a small dog is being held by someone,a small dog is sticking its tongue out,,"Caption 1: a small dog is being held by someone
Caption 2: a small dog is sticking its tongue out
What's the transition?"
a hamy is being fed by a person,a small baby sloty monkey is being held by someone,,"Caption 1: a hamy is being fed by a person
Caption 2: a small baby sloty monkey is being held by someone
What's the transition?"
a small baby sloty monkey is being held by someone,a small kitten is being held by someone,,"Caption 1: a small baby sloty monkey is being held by someone
Caption 2: a small kitten is being held by someone
What's the transition?"
a small kitten is being held by someone,a small dog is being held by someone,,"Caption 1: a small kitten is being held by someone
Caption 2: a small dog is being held by someone
What's the transition?"
a small dog is being held by someone,a small mouse is being held by someone,,"Caption 1: a small dog is being held by someone
Caption 2: a small mouse is being held by someone
What's the transition?"
a small mouse is being held by someone,a small monkey is being fed by a person,,"Caption 1: a small mouse is being held by someone
Caption 2: a small monkey is being fed by a person
What's the transition?"
a man in a tank top shirt,a man in a tank top is sitting on a bed,,"Caption 1: a man in a tank top shirt
Caption 2: a man in a tank top is sitting on a bed
What's the transition?"
a man in a tank top is sitting on a bed,a man is laying on the ground with his feet on the ground,,"Caption 1: a man in a tank top is sitting on a bed
Caption 2: a man is laying on the ground with his feet on the ground
What's the transition?"
a man and woman are standing in front of a mirror,a man and woman are standing on a stage,,"Caption 1: a man and woman are standing in front of a mirror
Caption 2: a man and woman are standing on a stage
What's the transition?"
a man and woman are standing on a stage,a man walking down the street,,"Caption 1: a man and woman are standing on a stage
Caption 2: a man walking down the street
What's the transition?"
a man walking down the street,a man standing on a beach,,"Caption 1: a man walking down the street
Caption 2: a man standing on a beach
What's the transition?"
a man standing on a beach,a man standing in front of a window with a light shining through it,,"Caption 1: a man standing on a beach
Caption 2: a man standing in front of a window with a light shining through it
What's the transition?"
a man standing in front of a window with a light shining through it,a man holding a bunch of red balloons,,"Caption 1: a man standing in front of a window with a light shining through it
Caption 2: a man holding a bunch of red balloons
What's the transition?"
a man standing on top of a stage,a woman is standing on a stage with chairs,,"Caption 1: a man standing on top of a stage
Caption 2: a woman is standing on a stage with chairs
What's the transition?"
a man in a suit and tie standing in front of a screen,a man is sitting on a chair in a room,,"Caption 1: a man in a suit and tie standing in front of a screen
Caption 2: a man is sitting on a chair in a room
What's the transition?"
a man is sitting on a chair in a room,a man is performing on a stage with a woman,,"Caption 1: a man is sitting on a chair in a room
Caption 2: a man is performing on a stage with a woman
What's the transition?"
a man is performing on a stage with a woman,a man is seen in this surveillance image,,"Caption 1: a man is performing on a stage with a woman
Caption 2: a man is seen in this surveillance image
What's the transition?"
a man is seen in this surveillance image,a group of people standing around a red wall,,"Caption 1: a man is seen in this surveillance image
Caption 2: a group of people standing around a red wall
What's the transition?"
a man in a white shirt and black pants walking down a street,a mountain with snow on it and trees in the fore,,"Caption 1: a man in a white shirt and black pants walking down a street
Caption 2: a mountain with snow on it and trees in the fore
What's the transition?"
a mountain with snow on it and trees in the fore,a woman in red pants standing on a snow covered hill,,"Caption 1: a mountain with snow on it and trees in the fore
Caption 2: a woman in red pants standing on a snow covered hill
What's the transition?"
a woman in red pants standing on a snow covered hill,a woman in red pants and a black jacket,,"Caption 1: a woman in red pants standing on a snow covered hill
Caption 2: a woman in red pants and a black jacket
What's the transition?"
a woman is walking down a sidewalk with balloons,a man is standing on a wall with balloons,,"Caption 1: a woman is walking down a sidewalk with balloons
Caption 2: a man is standing on a wall with balloons
What's the transition?"
a man is standing on a wall with balloons,a shower of water,,"Caption 1: a man is standing on a wall with balloons
Caption 2: a shower of water
What's the transition?"
a shower of water,a man is walking down a wooden bridge,,"Caption 1: a shower of water
Caption 2: a man is walking down a wooden bridge
What's the transition?"
a man is walking down a wooden bridge,a man in a tank top is doing a trick,,"Caption 1: a man is walking down a wooden bridge
Caption 2: a man in a tank top is doing a trick
What's the transition?"
a man in a tank top is doing a trick,a man in a white shirt,,"Caption 1: a man in a tank top is doing a trick
Caption 2: a man in a white shirt
What's the transition?"
a man in a white shirt,a man is standing in the rain,,"Caption 1: a man in a white shirt
Caption 2: a man is standing in the rain
What's the transition?"
a man is standing in the rain,a man is throwing a frck,,"Caption 1: a man is standing in the rain
Caption 2: a man is throwing a frck
What's the transition?"
a man is throwing a frck,a woman walking down a dirt road with a red ball,,"Caption 1: a man is throwing a frck
Caption 2: a woman walking down a dirt road with a red ball
What's the transition?"
a man sitting on a couch,a brick wall with graffiti on it,,"Caption 1: a man sitting on a couch
Caption 2: a brick wall with graffiti on it
What's the transition?"
a brick wall with graffiti on it,a sign that says it ' s sunny philadelphia,,"Caption 1: a brick wall with graffiti on it
Caption 2: a sign that says it ' s sunny philadelphia
What's the transition?"
a man walking down a dirt road with trees in the background,a man is running down a dirt road,,"Caption 1: a man walking down a dirt road with trees in the background
Caption 2: a man is running down a dirt road
What's the transition?"
a man is running down a dirt road,a woman in a yellow dress is standing in the shade,,"Caption 1: a man is running down a dirt road
Caption 2: a woman in a yellow dress is standing in the shade
What's the transition?"
a woman is standing in the grass next to a man,a man doing a push on a wall,,"Caption 1: a woman is standing in the grass next to a man
Caption 2: a man doing a push on a wall
What's the transition?"
a man doing a push on a wall,a man laying on the ground,,"Caption 1: a man doing a push on a wall
Caption 2: a man laying on the ground
What's the transition?"
a man laying on the ground,a group of people standing on a dirt road,,"Caption 1: a man laying on the ground
Caption 2: a group of people standing on a dirt road
What's the transition?"
a man is walking down a path with two women,a man is holding a woman in the woods,,"Caption 1: a man is walking down a path with two women
Caption 2: a man is holding a woman in the woods
What's the transition?"
a man is holding a woman in the woods,a man swinging a bat,,"Caption 1: a man is holding a woman in the woods
Caption 2: a man swinging a bat
What's the transition?"
a man swinging a bat,a man with long hair standing in front of a tree,,"Caption 1: a man swinging a bat
Caption 2: a man with long hair standing in front of a tree
What's the transition?"
a man standing on top of a metal structure,a man in a suit and tie standing in front of a curtain,,"Caption 1: a man standing on top of a metal structure
Caption 2: a man in a suit and tie standing in front of a curtain
What's the transition?"
a man in a suit and tie standing in front of a curtain,a man in a black shirt and jeans is standing on a stage,,"Caption 1: a man in a suit and tie standing in front of a curtain
Caption 2: a man in a black shirt and jeans is standing on a stage
What's the transition?"
a man in a black shirt and jeans is standing on a stage,a man in a bikini is standing on a stage,,"Caption 1: a man in a black shirt and jeans is standing on a stage
Caption 2: a man in a bikini is standing on a stage
What's the transition?"
a man in a bikini is standing on a stage,a man in a boat with a dog on it,,"Caption 1: a man in a bikini is standing on a stage
Caption 2: a man in a boat with a dog on it
What's the transition?"
a man in a boat with a dog on it,a large metal structure with a large metal structure,,"Caption 1: a man in a boat with a dog on it
Caption 2: a large metal structure with a large metal structure
What's the transition?"
a large metal structure with a large metal structure,a man standing on top of a stage,,"Caption 1: a large metal structure with a large metal structure
Caption 2: a man standing on top of a stage
What's the transition?"
a man is standing on a stage with his hands up,a woman in a dress is standing on a stage,,"Caption 1: a man is standing on a stage with his hands up
Caption 2: a woman in a dress is standing on a stage
What's the transition?"
a man is standing in the dark,a man is climbing up a tree,,"Caption 1: a man is standing in the dark
Caption 2: a man is climbing up a tree
What's the transition?"
a man is climbing up a tree,a woman in a blue dress is holding a green bag,,"Caption 1: a man is climbing up a tree
Caption 2: a woman in a blue dress is holding a green bag
What's the transition?"
a fire is burning in a building,a man and a little boy are playing on a dirt road,,"Caption 1: a fire is burning in a building
Caption 2: a man and a little boy are playing on a dirt road
What's the transition?"
a man in a black shirt is standing in front of a blue light,a man standing on top of a stage holding a microphone,,"Caption 1: a man in a black shirt is standing in front of a blue light
Caption 2: a man standing on top of a stage holding a microphone
What's the transition?"
a man standing on top of a stage holding a microphone,a man is holding a barbell in his hands,,"Caption 1: a man standing on top of a stage holding a microphone
Caption 2: a man is holding a barbell in his hands
What's the transition?"
a man is holding a barbell in his hands,a woman in a striped suit walking down a street,,"Caption 1: a man is holding a barbell in his hands
Caption 2: a woman in a striped suit walking down a street
What's the transition?"
a cat is standing on a wooden floor,a bowl of chopped meat on a wooden cutting board,,"Caption 1: a cat is standing on a wooden floor
Caption 2: a bowl of chopped meat on a wooden cutting board
What's the transition?"
a monkey is sitting on the floor in a room,a cat playing with a ball on the floor,,"Caption 1: a monkey is sitting on the floor in a room
Caption 2: a cat playing with a ball on the floor
What's the transition?"
a fire is burning in the sky,a video of a man playing a guitar in front of a fire,,"Caption 1: a fire is burning in the sky
Caption 2: a video of a man playing a guitar in front of a fire
What's the transition?"
a man playing guitar in front of a fire,a car is seen in the dark,,"Caption 1: a man playing guitar in front of a fire
Caption 2: a car is seen in the dark
What's the transition?"
a man wearing a brown shirt,a man in a kitchen making pizzas,,"Caption 1: a man wearing a brown shirt
Caption 2: a man in a kitchen making pizzas
What's the transition?"
a cat is standing on a bed,a cat sitting on a bed with a bag on the bed,,"Caption 1: a cat is standing on a bed
Caption 2: a cat sitting on a bed with a bag on the bed
What's the transition?"
a man is making a bowl of flour,a man is washing his dog in a bowl,,"Caption 1: a man is making a bowl of flour
Caption 2: a man is washing his dog in a bowl
What's the transition?"
a large elephant standing on a platform in a zoo,a bear is standing on a table with food,,"Caption 1: a large elephant standing on a platform in a zoo
Caption 2: a bear is standing on a table with food
What's the transition?"
a man is putting a bowl with food,a man is pouring a mixture of green liquid into a bowl,,"Caption 1: a man is putting a bowl with food
Caption 2: a man is pouring a mixture of green liquid into a bowl
What's the transition?"
a dog is laying down on the ground,a dog is playing with a ball in the snow,,"Caption 1: a dog is laying down on the ground
Caption 2: a dog is playing with a ball in the snow
What's the transition?"
a dog is playing with a ball in the snow,a man is sitting on the floor in a bathtub,,"Caption 1: a dog is playing with a ball in the snow
Caption 2: a man is sitting on the floor in a bathtub
What's the transition?"
a man is sitting on the floor in a bathtub,a woman is dancing in a room,,"Caption 1: a man is sitting on the floor in a bathtub
Caption 2: a woman is dancing in a room
What's the transition?"
a woman is dancing in a room,a black and white dog sitting on a bed,,"Caption 1: a woman is dancing in a room
Caption 2: a black and white dog sitting on a bed
What's the transition?"
a black and white dog sitting on a bed,a black and white cat,,"Caption 1: a black and white dog sitting on a bed
Caption 2: a black and white cat
What's the transition?"
a black and white cat,a woman is kneeling on the ground with a dog,,"Caption 1: a black and white cat
Caption 2: a woman is kneeling on the ground with a dog
What's the transition?"
a woman is kneeling on the ground with a dog,a woman is laying on the ground with her head down,,"Caption 1: a woman is kneeling on the ground with a dog
Caption 2: a woman is laying on the ground with her head down
What's the transition?"
a dog is laying on the floor with a person,a man standing on the floor,,"Caption 1: a dog is laying on the floor with a person
Caption 2: a man standing on the floor
What's the transition?"
a man in a black suit and a black hat,a man in a suit and tie is holding a cigarette,,"Caption 1: a man in a black suit and a black hat
Caption 2: a man in a suit and tie is holding a cigarette
What's the transition?"
a man in a suit and tie is holding a cigarette,a man in a suit and tie is holding a microphone,,"Caption 1: a man in a suit and tie is holding a cigarette
Caption 2: a man in a suit and tie is holding a microphone
What's the transition?"
a man in a suit and tie is holding a microphone,a woman in a long coat is walking down a dirt road,,"Caption 1: a man in a suit and tie is holding a microphone
Caption 2: a woman in a long coat is walking down a dirt road
What's the transition?"
