prev_caption,curr_caption,human_transition,input_text,generated_transition
a video of a man in a room with a camera,a video of a man doing a trick,,"Caption 1: a video of a man in a room with a camera
Caption 2: a video of a man doing a trick
What's the transition?",The man continues to perform a trick.
a video of a man doing a trick,a video of a man walking down a street,,"Caption 1: a video of a man doing a trick
Caption 2: a video of a man walking down a street
What's the transition?",The man walks down the street.
a video of a man walking down a hallway,a video game with a man in a room,,"Caption 1: a video of a man walking down a hallway
Caption 2: a video game with a man in a room
What's the transition?",The man is in a video game.
a video game with a man in a room,a video of a man in a suit and tie,,"Caption 1: a video game with a man in a room
Caption 2: a video of a man in a suit and tie
What's the transition?",He is wearing a suit and tie.
a toy car is on a train track,a toy car is on a table with a toy bus,,"Caption 1: a toy car is on a train track
Caption 2: a toy car is on a table with a toy bus
What's the transition?",The toy car is on a table.
a group of people playing a game of baseball,a group of people playing soccer in the street,,"Caption 1: a group of people playing a game of baseball
Caption 2: a group of people playing soccer in the street
What's the transition?",They continue playing.
a group of people playing soccer in the street,a video of a man in white clothes and a woman in a white dress,,"Caption 1: a group of people playing soccer in the street
Caption 2: a video of a man in white clothes and a woman in a white dress
What's the transition?",They continue playing.
a video of a man in white clothes and a woman in a white dress,a man in a helmet is holding a baseball bat,,"Caption 1: a video of a man in white clothes and a woman in a white dress
Caption 2: a man in a helmet is holding a baseball bat
What's the transition?",The man is holding a bat.
the twilight saga trailer,the vampire diaries - official trailer,,"Caption 1: the twilight saga trailer
Caption 2: the vampire diaries - official trailer
What's the transition?",The scene cuts to a vampire diaries.
the vampire diaries - official trailer,a man in a black jacket standing on a street,,"Caption 1: the vampire diaries - official trailer
Caption 2: a man in a black jacket standing on a street
What's the transition?",A man in black appears on the street.
a man in a black jacket standing on a street,a man walking down the street with a sign,,"Caption 1: a man in a black jacket standing on a street
Caption 2: a man walking down the street with a sign
What's the transition?",The man walks down the street.
a man walking down the street with a sign,a man walking down the street with a cane,,"Caption 1: a man walking down the street with a sign
Caption 2: a man walking down the street with a cane
What's the transition?",The man walks with a cane.
a man walking down the street with a cane,a man walking down a street next to a white van,,"Caption 1: a man walking down the street with a cane
Caption 2: a man walking down a street next to a white van
What's the transition?",The man walks next to a white van.
a man walking down a street next to a white van,a man walking down a street next to a refrigerator,,"Caption 1: a man walking down a street next to a white van
Caption 2: a man walking down a street next to a refrigerator
What's the transition?",The man starts walking down the street.
a man walking down a street next to a refrigerator,a man walking down a street next to a building,,"Caption 1: a man walking down a street next to a refrigerator
Caption 2: a man walking down a street next to a building
What's the transition?",The man walks down the street.
a man walking down a street next to a building,a man walking down a street next to a woman,,"Caption 1: a man walking down a street next to a building
Caption 2: a man walking down a street next to a woman
What's the transition?",The woman walks down the street next to the man.
a man walking down a street next to a woman,a woman in a pink coat and a pink coat,,"Caption 1: a man walking down a street next to a woman
Caption 2: a woman in a pink coat and a pink coat
What's the transition?",The woman is wearing a pink coat.
a man with a hat on and a necklace around his neck,a man wearing a blue hat,,"Caption 1: a man with a hat on and a necklace around his neck
Caption 2: a man wearing a blue hat
What's the transition?",He is wearing a blue hat.
a man wearing a blue hat,a man standing in a living room holding a froth,,"Caption 1: a man wearing a blue hat
Caption 2: a man standing in a living room holding a froth
What's the transition?",He is holding a froth.
a man standing in a living room holding a froth,a boy standing in a living room,,"Caption 1: a man standing in a living room holding a froth
Caption 2: a boy standing in a living room
What's the transition?",The boy is now in the living room.
a boy standing in a living room,a man in a yellow and white striped shirt,,"Caption 1: a boy standing in a living room
Caption 2: a man in a yellow and white striped shirt
What's the transition?",He is wearing a yellow and white striped shirt.
a man in a yellow and white striped shirt,a man in a yellow shirt and blue hat,,"Caption 1: a man in a yellow and white striped shirt
Caption 2: a man in a yellow shirt and blue hat
What's the transition?",He has a blue hat.
a man is seen in the window of a house,a man is using a window to install a glass,,"Caption 1: a man is seen in the window of a house
Caption 2: a man is using a window to install a glass
What's the transition?",The man replaces the window with a glass.
a man is using a window to install a glass,a man is painting a house with a paint roller,,"Caption 1: a man is using a window to install a glass
Caption 2: a man is painting a house with a paint roller
What's the transition?",The man paints a house with a paint roller.
a man is painting a house with a paint roller,a man is opening the door to a house,,"Caption 1: a man is painting a house with a paint roller
Caption 2: a man is opening the door to a house
What's the transition?",The man opens the door to the house.
a man is opening the door to his house,a man is trying to get into a house,,"Caption 1: a man is opening the door to his house
Caption 2: a man is trying to get into a house
What's the transition?",The man tries to get into the house.
a man is seen in a video screen,a man is cleaning the outside of a house,,"Caption 1: a man is seen in a video screen
Caption 2: a man is cleaning the outside of a house
What's the transition?",The man is cleaning the outside of the house.
a man is cleaning the outside of a house,a man is seen in the window of his house,,"Caption 1: a man is cleaning the outside of a house
Caption 2: a man is seen in the window of his house
What's the transition?",The man looks up at the window.
a woman doing a yoga pose in a gym,a woman in a yellow top is doing a squat,,"Caption 1: a woman doing a yoga pose in a gym
Caption 2: a woman in a yellow top is doing a squat
What's the transition?",She switches from a yoga pose to a squat.
a woman in a yellow top is doing a squat,a man and woman are doing a squat exercise,,"Caption 1: a woman in a yellow top is doing a squat
Caption 2: a man and woman are doing a squat exercise
What's the transition?",The woman begins a squat exercise.
a man and woman doing a kick in a gym,a woman in a yellow top is doing a kick,,"Caption 1: a man and woman doing a kick in a gym
Caption 2: a woman in a yellow top is doing a kick
What's the transition?",The woman continues to kick.
a man is holding a small plant in his hand,a man riding a skateboard down a street,,"Caption 1: a man is holding a small plant in his hand
Caption 2: a man riding a skateboard down a street
What's the transition?",The man begins riding a skateboard.
a scene from the movie ' ' ' ' ',a scene from the movie ' bha bha ',,"Caption 1: a scene from the movie ' ' ' ' '
Caption 2: a scene from the movie ' bha bha '
What's the transition?",The scene cuts to a movie.
a black background with a white and red flower,a large american flag,,"Caption 1: a black background with a white and red flower
Caption 2: a large american flag
What's the transition?",A large american flag is shown.
a large american flag,an american flag is flying in the wind,,"Caption 1: a large american flag
Caption 2: an american flag is flying in the wind
What's the transition?",The flag is now in the wind.
a flag is flying in the air,a man standing on a stage with an american flag,,"Caption 1: a flag is flying in the air
Caption 2: a man standing on a stage with an american flag
What's the transition?",A man appears on stage with the american flag.
a man standing on a stage with an american flag,garth the giant - the voice,,"Caption 1: a man standing on a stage with an american flag
Caption 2: garth the giant - the voice
What's the transition?",The scene cuts to a giant.
a man standing in the middle of a forest,a man standing in the grass next to a woman,,"Caption 1: a man standing in the middle of a forest
Caption 2: a man standing in the grass next to a woman
What's the transition?",The man stands next to a woman.
a woman is standing in the rain,a man with a knife in his mouth,,"Caption 1: a woman is standing in the rain
Caption 2: a man with a knife in his mouth
What's the transition?",The man is holding a knife.
a man with a knife in his mouth,a man with a wet face,,"Caption 1: a man with a knife in his mouth
Caption 2: a man with a wet face
What's the transition?",The man has a wet face.
a man with a wet face,a woman is standing in front of a tv screen,,"Caption 1: a man with a wet face
Caption 2: a woman is standing in front of a tv screen
What's the transition?",The woman stands in front of the tv screen.
a woman is crying,a woman walking down a long red carpet,,"Caption 1: a woman is crying
Caption 2: a woman walking down a long red carpet
What's the transition?",The woman walks down the red carpet.
a couple walking through a park,a man standing in the grass next to a tree,,"Caption 1: a couple walking through a park
Caption 2: a man standing in the grass next to a tree
What's the transition?",A man appears in the grass next to a tree.
a man standing in the grass next to a tree,a couple dancing in the park,,"Caption 1: a man standing in the grass next to a tree
Caption 2: a couple dancing in the park
What's the transition?",A couple begins to dance.
a couple dancing in the park,a couple in a field of flowers,,"Caption 1: a couple dancing in the park
Caption 2: a couple in a field of flowers
What's the transition?",The couples continue to dance.
a man and a woman playing a game,a man and a little girl sitting on a couch,,"Caption 1: a man and a woman playing a game
Caption 2: a man and a little girl sitting on a couch
What's the transition?",The man and a little girl are on the couch.
a man and a little girl sitting on a couch,a black and white photo,,"Caption 1: a man and a little girl sitting on a couch
Caption 2: a black and white photo
What's the transition?",The photo changes to a black and white photo.
a man is holding a pot with a lightning,a lightning is seen in the dark sky,,"Caption 1: a man is holding a pot with a lightning
Caption 2: a lightning is seen in the dark sky
What's the transition?",The lightning appears in the dark sky.
a lightning strikes through the sky above a building,a lightening a lightening a lightening a lightening a lightening a lightening a lightening a lightening a lightening a,,"Caption 1: a lightning strikes through the sky above a building
Caption 2: a lightening a lightening a lightening a lightening a lightening a lightening a lightening a lightening a lightening a
What's the transition?",A lightening is shown.
a lightening a lightening a lightening a lightening a lightening a lightening a lightening a lightening a lightening a,a lightning is seen in the dark sky,,"Caption 1: a lightening a lightening a lightening a lightening a lightening a lightening a lightening a lightening a lightening a
Caption 2: a lightning is seen in the dark sky
What's the transition?",A lightning is shown.
a blue balloon is lit up in the dark,a blue object is being held up by a light,,"Caption 1: a blue balloon is lit up in the dark
Caption 2: a blue object is being held up by a light
What's the transition?",The object is held up by a light.
a blue object is being held up by a light,a blue ball with a white light on it,,"Caption 1: a blue object is being held up by a light
Caption 2: a blue ball with a white light on it
What's the transition?",The ball is replaced by a white light.
a woman in a black and white photo,a woman is holding a dog in her arms,,"Caption 1: a woman in a black and white photo
Caption 2: a woman is holding a dog in her arms
What's the transition?",The woman holds a dog instead of a bird.
a woman is holding a dog in her arms,a woman is kneeling on the ground with her dog,,"Caption 1: a woman is holding a dog in her arms
Caption 2: a woman is kneeling on the ground with her dog
What's the transition?",The woman kneels down with her dog.
a woman kneeling down with a dog,a woman is sitting on a chair and holding a dog,,"Caption 1: a woman kneeling down with a dog
Caption 2: a woman is sitting on a chair and holding a dog
What's the transition?",The woman sits on a chair and holds the dog instead of kneeling.
a woman in a bikini is holding a dog,a panda is playing with a ball in the sand,,"Caption 1: a woman in a bikini is holding a dog
Caption 2: a panda is playing with a ball in the sand
What's the transition?",The woman continues holding the dog.
a panda is playing with a ball in the sand,a woman is laying on the ground,,"Caption 1: a panda is playing with a ball in the sand
Caption 2: a woman is laying on the ground
What's the transition?",The woman lays on the ground.
a woman is laying on the ground,a dog is playing with a toy on the floor,,"Caption 1: a woman is laying on the ground
Caption 2: a dog is playing with a toy on the floor
What's the transition?",A dog is playing with a toy.
a dog is playing with a toy on the floor,a black and white photo,,"Caption 1: a dog is playing with a toy on the floor
Caption 2: a black and white photo
What's the transition?",The photo changes to a black and white photo.
a black and white photo,a black and white dog,,"Caption 1: a black and white photo
Caption 2: a black and white dog
What's the transition?",A dog is shown.
a black and white cat,a mouse is sitting on the floor in a room,,"Caption 1: a black and white cat
Caption 2: a mouse is sitting on the floor in a room
What's the transition?",A mouse is now in the room.
a mouse is sitting on the floor in a room,a woman is laying on the floor with her dog,,"Caption 1: a mouse is sitting on the floor in a room
Caption 2: a woman is laying on the floor with her dog
What's the transition?",The woman and her dog are now with the mouse.
a woman is laying on the floor with her head in her hands,a man is laying on the floor,,"Caption 1: a woman is laying on the floor with her head in her hands
Caption 2: a man is laying on the floor
What's the transition?",The woman continues to hold her head.
a woman in a white shirt and a man in a suit,a man and woman are talking in a room,,"Caption 1: a woman in a white shirt and a man in a suit
Caption 2: a man and woman are talking in a room
What's the transition?",The woman and man are talking in a room.
a man and woman are talking in front of a building,a man and woman are walking out of a building,,"Caption 1: a man and woman are talking in front of a building
Caption 2: a man and woman are walking out of a building
What's the transition?",The man and woman walk out of the building.
a man is bending his car ' s bumper,a man is trying to pull a car,,"Caption 1: a man is bending his car ' s bumper
Caption 2: a man is trying to pull a car
What's the transition?",The man tries to pull the car.
a man is trying to pull a car,a man is fixing a car with a wren,,"Caption 1: a man is trying to pull a car
Caption 2: a man is fixing a car with a wren
What's the transition?",The man replaces the wren with a wren.
a man is fixing a car with a wren,a man standing next to a car with a broken hood,,"Caption 1: a man is fixing a car with a wren
Caption 2: a man standing next to a car with a broken hood
What's the transition?",The man stands next to the car.
how to make a paper flower,how to make a paper heart,,"Caption 1: how to make a paper flower
Caption 2: how to make a paper heart
What's the transition?",The flower is replaced by a heart.
a woman in a kitchen holding a tray of food,a woman in a kitchen with a pizza,,"Caption 1: a woman in a kitchen holding a tray of food
Caption 2: a woman in a kitchen with a pizza
What's the transition?",The woman switches from a pizza to a pizza.
a woman in a kitchen with a pizza,a woman in a red dress is standing in a kitchen,,"Caption 1: a woman in a kitchen with a pizza
Caption 2: a woman in a red dress is standing in a kitchen
What's the transition?",The woman is standing in the kitchen.
a woman sitting in a chair,a woman in a kitchen pointing at a microwave,,"Caption 1: a woman sitting in a chair
Caption 2: a woman in a kitchen pointing at a microwave
What's the transition?",The woman switches from a chair to the kitchen.
a man and woman standing in front of a waterfall,a man and woman are standing in the woods,,"Caption 1: a man and woman standing in front of a waterfall
Caption 2: a man and woman are standing in the woods
What's the transition?",The man and woman are in the woods.
a man and woman are standing in the woods,a scene from the movie,,"Caption 1: a man and woman are standing in the woods
Caption 2: a scene from the movie
What's the transition?",The scene cuts to a movie.
a man in a black shirt is standing in the woods,a woman in a bikini standing in front of a waterfall,,"Caption 1: a man in a black shirt is standing in the woods
Caption 2: a woman in a bikini standing in front of a waterfall
What's the transition?",The woman stands in front of the waterfall.
a woman in a bikini standing in front of a waterfall,a scene from the movie ' s avatar,,"Caption 1: a woman in a bikini standing in front of a waterfall
Caption 2: a scene from the movie ' s avatar
What's the transition?",The scene cuts to a movie.
a scene from the movie ' ' ' ',a woman in a blue skirt dancing in front of a waterfall,,"Caption 1: a scene from the movie ' ' ' '
Caption 2: a woman in a blue skirt dancing in front of a waterfall
What's the transition?",The scene cuts to a woman in a blue skirt dancing.
a woman in a blue skirt dancing in front of a waterfall,a man in a black shirt is standing in the water,,"Caption 1: a woman in a blue skirt dancing in front of a waterfall
Caption 2: a man in a black shirt is standing in the water
What's the transition?",The woman continues to dance.
a man in a black shirt is standing in the water,a man and woman in a boat,,"Caption 1: a man in a black shirt is standing in the water
Caption 2: a man and woman in a boat
What's the transition?",The man and woman are in a boat.
a man and woman in a boat,a scene from the movie ' s first trailer,,"Caption 1: a man and woman in a boat
Caption 2: a scene from the movie ' s first trailer
What's the transition?",The scene cuts to a movie.
a woman in a red bikini top and red pants,a woman in a red dress standing in the water,,"Caption 1: a woman in a red bikini top and red pants
Caption 2: a woman in a red dress standing in the water
What's the transition?",The woman stands in the water.
a woman in a red bikini top and red shorts,a woman in a red sari dancing,,"Caption 1: a woman in a red bikini top and red shorts
Caption 2: a woman in a red sari dancing
What's the transition?",The woman begins dancing.
a woman in a red sari dancing,a woman in a red dress is dancing on the beach,,"Caption 1: a woman in a red sari dancing
Caption 2: a woman in a red dress is dancing on the beach
What's the transition?",The woman continues to dance.
a woman in a red dress is dancing on the beach,a woman in a white dress is standing in front of a wall,,"Caption 1: a woman in a red dress is dancing on the beach
Caption 2: a woman in a white dress is standing in front of a wall
What's the transition?",The woman stands in front of the wall.
a woman in a white dress is standing in front of a wall,a group of people standing around a car,,"Caption 1: a woman in a white dress is standing in front of a wall
Caption 2: a group of people standing around a car
What's the transition?",A group of people appear around a car.
a boat sailing on the ocean with a blue sky,a sailer is seen in the distance of a sail,,"Caption 1: a boat sailing on the ocean with a blue sky
Caption 2: a sailer is seen in the distance of a sail
What's the transition?",A sailer is shown in the distance.
a sailer is seen in the distance of a sail,a man is seen in the air as he is seen by a helicopter,,"Caption 1: a sailer is seen in the distance of a sail
Caption 2: a man is seen in the air as he is seen by a helicopter
What's the transition?",A man is seen in the air.
a man is seen in the air as he is seen by a helicopter,a rocket is seen in the ocean as it launches,,"Caption 1: a man is seen in the air as he is seen by a helicopter
Caption 2: a rocket is seen in the ocean as it launches
What's the transition?",A rocket is shown in the ocean.
a woman sitting in a chair,a man is standing next to a woman,,"Caption 1: a woman sitting in a chair
Caption 2: a man is standing next to a woman
What's the transition?",A man is next to the woman.
a man is sitting on a chair with a woman,a man is giving a woman a bottle,,"Caption 1: a man is sitting on a chair with a woman
Caption 2: a man is giving a woman a bottle
What's the transition?",The man gives the woman a bottle.
a man is giving a woman a bottle,a man in a police uniform is standing next to a fire,,"Caption 1: a man is giving a woman a bottle
Caption 2: a man in a police uniform is standing next to a fire
What's the transition?",The man is standing next to a fire.
a man in a police uniform is standing next to a fire,a man in uniform is shaking another man,,"Caption 1: a man in a police uniform is standing next to a fire
Caption 2: a man in uniform is shaking another man
What's the transition?",The man in uniform is shaking.
a man in uniform is shaking another man,a man in a uniform is standing next to a woman,,"Caption 1: a man in uniform is shaking another man
Caption 2: a man in a uniform is standing next to a woman
What's the transition?",The man stands next to a woman.
a group of naked women dancing in the sand,a group of people dancing in the sand,,"Caption 1: a group of naked women dancing in the sand
Caption 2: a group of people dancing in the sand
What's the transition?",They continue to dance.
a man standing next to a large alligator,a man kneeling down on a bench in a park,,"Caption 1: a man standing next to a large alligator
Caption 2: a man kneeling down on a bench in a park
What's the transition?",The man kneels down on a bench.
a man kneeling down on a bench in a park,a man is feeding an alligator in the grass,,"Caption 1: a man kneeling down on a bench in a park
Caption 2: a man is feeding an alligator in the grass
What's the transition?",The man feeds an alligator.
a woman is kissing a man in the dark,a black dog is standing in front of a tv screen,,"Caption 1: a woman is kissing a man in the dark
Caption 2: a black dog is standing in front of a tv screen
What's the transition?",A black dog appears in front of the tv screen.
a black cat is standing in front of a tv screen,a woman with a black hair standing in front of a window,,"Caption 1: a black cat is standing in front of a tv screen
Caption 2: a woman with a black hair standing in front of a window
What's the transition?",A woman with black hair is standing in front of the window.
a woman with a black hair standing in front of a window,a woman with long hair standing in front of a blue screen,,"Caption 1: a woman with a black hair standing in front of a window
Caption 2: a woman with long hair standing in front of a blue screen
What's the transition?",The woman switches from black to blue.
a man with a black jacket and a white shirt,a man in a black jacket is smiling,,"Caption 1: a man with a black jacket and a white shirt
Caption 2: a man in a black jacket is smiling
What's the transition?",He is smiling.
a man in a black jacket is smiling,a man in a black jacket is looking at the camera,,"Caption 1: a man in a black jacket is smiling
Caption 2: a man in a black jacket is looking at the camera
What's the transition?",The man looks at the camera.
a man in a black shirt is looking at the camera,a woman with long hair and a white shirt,,"Caption 1: a man in a black shirt is looking at the camera
Caption 2: a woman with long hair and a white shirt
What's the transition?",A woman is shown standing next to the man.
a woman with long hair,a woman crying in a video,,"Caption 1: a woman with long hair
Caption 2: a woman crying in a video
What's the transition?",The woman starts crying.
a man is cooking in a kitchen with a pan,a man in a white shirt is cooking,,"Caption 1: a man is cooking in a kitchen with a pan
Caption 2: a man in a white shirt is cooking
What's the transition?",The man is cooking.
a cat is walking around in the dirt,a tiger in a zoo,,"Caption 1: a cat is walking around in the dirt
Caption 2: a tiger in a zoo
What's the transition?",A tiger appears in a zoo.
a tiger is walking through the woods,a tiger is laying down in the dirt,,"Caption 1: a tiger is walking through the woods
Caption 2: a tiger is laying down in the dirt
What's the transition?",The tiger lays down.
a picture of a microwave with a flower design,a woman in a kitchen,,"Caption 1: a picture of a microwave with a flower design
Caption 2: a woman in a kitchen
What's the transition?",The woman is now in the kitchen.
a group of men working in a field,a group of people are working in the mud,,"Caption 1: a group of men working in a field
Caption 2: a group of people are working in the mud
What's the transition?",They continue to work.
a group of people are working in the mud,a group of people are in the water,,"Caption 1: a group of people are working in the mud
Caption 2: a group of people are in the water
What's the transition?",They continue to work.
a group of people are in the water,two men are walking through the water,,"Caption 1: a group of people are in the water
Caption 2: two men are walking through the water
What's the transition?",Two men are walking through the water.
two men are walking through the water,two men in the water with one holding a fish,,"Caption 1: two men are walking through the water
Caption 2: two men in the water with one holding a fish
What's the transition?",Two men are holding a fish.
two men in the water with one holding a fish,two men in the water with their arms out,,"Caption 1: two men in the water with one holding a fish
Caption 2: two men in the water with their arms out
What's the transition?",They continue to hold the fish.
a black and white image of people walking down a street,a black and white photo of a man in a suit,,"Caption 1: a black and white image of people walking down a street
Caption 2: a black and white photo of a man in a suit
What's the transition?",The photo changes to a man in a suit.
a black and white photo of a man in a suit,a woman is standing in the street with her hands on her hips,,"Caption 1: a black and white photo of a man in a suit
Caption 2: a woman is standing in the street with her hands on her hips
What's the transition?",The woman stands in the street.
a woman is standing in the street with her hands on her hips,a woman is standing in the street with her hair blowing,,"Caption 1: a woman is standing in the street with her hands on her hips
Caption 2: a woman is standing in the street with her hair blowing
What's the transition?",The woman begins to blow her hair.
a woman is standing in the street with her hair blowing,a black and white photo of two women,,"Caption 1: a woman is standing in the street with her hair blowing
Caption 2: a black and white photo of two women
What's the transition?",The photo changes to a black and white photo.
a black and white photo of two women,a man in a white shirt is standing in front of a window,,"Caption 1: a black and white photo of two women
Caption 2: a man in a white shirt is standing in front of a window
What's the transition?",A man in a white shirt is standing in front of the window.
a black cat is running away from a dog,a cat is walking in the yard,,"Caption 1: a black cat is running away from a dog
Caption 2: a cat is walking in the yard
What's the transition?",The cat begins walking.
a cat is running across the road,a cat is standing in front of a bus,,"Caption 1: a cat is running across the road
Caption 2: a cat is standing in front of a bus
What's the transition?",The cat stands in front of a bus.
a cat is standing in front of a bus,a bird is standing on a tree branch,,"Caption 1: a cat is standing in front of a bus
Caption 2: a bird is standing on a tree branch
What's the transition?",A bird is standing on a tree branch.
a bird is standing on a tree branch,a black background with the word wwhvett,,"Caption 1: a bird is standing on a tree branch
Caption 2: a black background with the word wwhvett
What's the transition?",The scene cuts to a black background.
a dog is standing on the ground at night,a dog is standing on a rocky beach,,"Caption 1: a dog is standing on the ground at night
Caption 2: a dog is standing on a rocky beach
What's the transition?",The dog continues to stand on the ground.
a fox is standing on a rocky beach,a small animal is standing on a rocky beach,,"Caption 1: a fox is standing on a rocky beach
Caption 2: a small animal is standing on a rocky beach
What's the transition?",A small animal is shown standing on the beach.
a small animal is standing on a rocky beach,a mouse is walking on the rocks,,"Caption 1: a small animal is standing on a rocky beach
Caption 2: a mouse is walking on the rocks
What's the transition?",A mouse joins the animal.
a mouse is walking on the rocks,a mouse mouse on a rocky beach,,"Caption 1: a mouse is walking on the rocks
Caption 2: a mouse mouse on a rocky beach
What's the transition?",The mouse mouse remains on the rocks.
a man wearing a white shirt,a man is standing in a room with a dog,,"Caption 1: a man wearing a white shirt
Caption 2: a man is standing in a room with a dog
What's the transition?",The man stays in a room with a dog.
a man is standing in a room with a dog,a man in a wheelchair,,"Caption 1: a man is standing in a room with a dog
Caption 2: a man in a wheelchair
What's the transition?",The man is in a wheelchair.
a man in a wheelchair,a man in a black shirt,,"Caption 1: a man in a wheelchair
Caption 2: a man in a black shirt
What's the transition?",He is wearing a black shirt.
a woman eating a piece of pizza,a young boy eating a piece of food,,"Caption 1: a woman eating a piece of pizza
Caption 2: a young boy eating a piece of food
What's the transition?",A boy joins the woman eating pizza.
a young boy eating a piece of food,a man holding a bag of food in his hands,,"Caption 1: a young boy eating a piece of food
Caption 2: a man holding a bag of food in his hands
What's the transition?",A man is holding the bag of food.
a car driving down a road with a view of the road,a car driving down a road with a person in the back seat,,"Caption 1: a car driving down a road with a view of the road
Caption 2: a car driving down a road with a person in the back seat
What's the transition?",The car starts to drive down the road.
a man sitting on a bench with a guitar,a woman is seen in a video taken from the back of a car,,"Caption 1: a man sitting on a bench with a guitar
Caption 2: a woman is seen in a video taken from the back of a car
What's the transition?",A woman is shown in the video.
a group of people walking across a field,a group of people playing golf in a field,,"Caption 1: a group of people walking across a field
Caption 2: a group of people playing golf in a field
What's the transition?",They continue playing golf.
a group of people playing a game of fr frc,a man is running in the grass,,"Caption 1: a group of people playing a game of fr frc
Caption 2: a man is running in the grass
What's the transition?",A man appears in the grass.
a man is running in the grass,a man is kneeling on the ground,,"Caption 1: a man is running in the grass
Caption 2: a man is kneeling on the ground
What's the transition?",The man kneels on the ground.
a man walking down a street with an umbrella,a car is on the street near a building,,"Caption 1: a man walking down a street with an umbrella
Caption 2: a car is on the street near a building
What's the transition?",A car appears on the street near the building.
a car is on the street near a building,a man is walking down the street with a skateboard,,"Caption 1: a car is on the street near a building
Caption 2: a man is walking down the street with a skateboard
What's the transition?",A man walks down the street with a skateboard.
a man is walking down the street with a skateboard,a man laying on the ground,,"Caption 1: a man is walking down the street with a skateboard
Caption 2: a man laying on the ground
What's the transition?",The man lays on the ground.
a man laying on the ground,a man is on the street with a motorcycle,,"Caption 1: a man laying on the ground
Caption 2: a man is on the street with a motorcycle
What's the transition?",The man is riding a motorcycle.
a man is on the street with a motorcycle,a man is sitting on the ground in the middle of the street,,"Caption 1: a man is on the street with a motorcycle
Caption 2: a man is sitting on the ground in the middle of the street
What's the transition?",The man sits on the ground.
a man is sitting on the ground in the middle of the street,a man is walking down the street in the rain,,"Caption 1: a man is sitting on the ground in the middle of the street
Caption 2: a man is walking down the street in the rain
What's the transition?",The man walks down the street.
a man is kneeling on the ground,a man is walking down the street with a suitcase,,"Caption 1: a man is kneeling on the ground
Caption 2: a man is walking down the street with a suitcase
What's the transition?",The man is walking with a suitcase.
a man is walking down the street with a suitcase,a man is laying on the ground in the street,,"Caption 1: a man is walking down the street with a suitcase
Caption 2: a man is laying on the ground in the street
What's the transition?",The man lays on the ground.
a man sitting on a chair with a bottle of wine,a man is wrestling with another man in the ring,,"Caption 1: a man sitting on a chair with a bottle of wine
Caption 2: a man is wrestling with another man in the ring
What's the transition?",The man continues to wrestle.
a little boy playing with a vacuum cleaner,a little girl is playing with a vacuum,,"Caption 1: a little boy playing with a vacuum cleaner
Caption 2: a little girl is playing with a vacuum
What's the transition?",The boy continues to play with the vacuum.
a man and woman are dancing together,a man is standing in front of a tv screen,,"Caption 1: a man and woman are dancing together
Caption 2: a man is standing in front of a tv screen
What's the transition?",The man stands in front of the tv screen.
a man is standing in front of a tv screen,a man and woman are standing on a stage,,"Caption 1: a man is standing in front of a tv screen
Caption 2: a man and woman are standing on a stage
What's the transition?",The man and woman are on stage.
a man and woman are dancing on stage,a woman is hugging a man on the stage,,"Caption 1: a man and woman are dancing on stage
Caption 2: a woman is hugging a man on the stage
What's the transition?",The woman hugs the man.
a woman hugging another woman on stage,a man and woman hug each on the stage,,"Caption 1: a woman hugging another woman on stage
Caption 2: a man and woman hug each on the stage
What's the transition?",The woman and man hug.
a man and woman hug each on the stage,a man and woman kissing in front of a tv screen,,"Caption 1: a man and woman hug each on the stage
Caption 2: a man and woman kissing in front of a tv screen
What's the transition?",They continue to kiss.
a man is standing in front of a television screen,a man is bending his head,,"Caption 1: a man is standing in front of a television screen
Caption 2: a man is bending his head
What's the transition?",The man bends his head.
a man is bending his head,a man is holding a dog,,"Caption 1: a man is bending his head
Caption 2: a man is holding a dog
What's the transition?",The man holds a dog instead of bending his head.
a man is holding a dog,a man is kissing a woman in a room,,"Caption 1: a man is holding a dog
Caption 2: a man is kissing a woman in a room
What's the transition?",The man kisses a woman in a room.
a black background with a white and red flower,a bed with a white comforter,,"Caption 1: a black background with a white and red flower
Caption 2: a bed with a white comforter
What's the transition?",The bed is white.
a bed with a white comforter,a cat is laying on a bed in a bedroom,,"Caption 1: a bed with a white comforter
Caption 2: a cat is laying on a bed in a bedroom
What's the transition?",A cat joins the bed.
a video of a race being filmed by a camera,a video of a football game being played by a man,,"Caption 1: a video of a race being filmed by a camera
Caption 2: a video of a football game being played by a man
What's the transition?",A man appears in the video.
a man in a kitchen preparing food on a counter,a group of people preparing food in a kitchen,,"Caption 1: a man in a kitchen preparing food on a counter
Caption 2: a group of people preparing food in a kitchen
What's the transition?",They continue preparing food.
a man and woman are taking pictures of each other people,a man and woman are sitting in a room,,"Caption 1: a man and woman are taking pictures of each other people
Caption 2: a man and woman are sitting in a room
What's the transition?",The man and woman are in a room.
a man in a red suit is standing on a red carpet,a man in a red shirt is doing karate,,"Caption 1: a man in a red suit is standing on a red carpet
Caption 2: a man in a red shirt is doing karate
What's the transition?",He is doing karate.
a man in a red shirt is doing karate,a man in red shirt doing a trick,,"Caption 1: a man in a red shirt is doing karate
Caption 2: a man in red shirt doing a trick
What's the transition?",He continues to do karate.
a man in red shirt doing a trick,a man in red jumps into the air,,"Caption 1: a man in red shirt doing a trick
Caption 2: a man in red jumps into the air
What's the transition?",The man jumps into the air.
